,error
0,0.3481999999999914
1,2.1125966999999832
2,0.5612112000000025
3,0.4953546000000131
4,0.6822469999999896
5,9.511665499999992
6,23.43052370000001
7,2.136977399999978
8,16.056044600000007
9,0.8104535999999882
10,7.744532499999991
11,9.419010700000001
12,21.16362459999999
13,9.726944900000007
14,5.162200000000013
15,28.695741400000003
16,3.468254999999999
17,19.1317253
18,7.763724400000001
19,4.060667100000018
20,22.08529630000001
21,0.9180925000000002
22,23.1722484
23,2.3292122999999947
24,4.38349629999999
25,6.575619000000017
26,9.746380700000003
27,14.405394300000012
28,5.173528199999993
29,27.75116030000001
30,2.8302395999999987
31,9.094262300000025
32,3.1540549000000055
33,1.3336486999999977
34,2.0120074999999815
35,2.8670999999999935
36,23.369598699999983
37,7.334831600000001
38,13.25872050000001
39,6.416526200000021
40,10.214904999999987
41,5.0136156000000085
42,5.566099999999977
43,23.417594100000002
44,5.437135800000021
45,10.340962899999994
46,7.930785599999979
47,8.844088999999997
48,17.03709699999999
49,14.309799999999996
50,12.134529500000014
51,5.097198099999986
52,18.023359999999997
53,9.256415199999992
54,9.905965399999985
55,8.385498599999977
56,3.929600000000022
57,25.611282899999992
58,3.6626527999999894
59,9.90544700000001
60,0.9524901999999997
61,13.28508069999998
62,14.29054640000001
63,9.516899999999993
64,28.388689900000003
65,12.24261420000002
66,3.991584500000016
67,0.8559520999999961
68,10.087133999999992
69,2.961305100000004
70,0.747099999999989
71,30.263078000000007
72,1.3822942999999839
73,2.102007900000018
74,1.6256467000000043
75,7.581213699999978
76,1.2200971999999979
77,0.3720000000000141
78,4.766074400000008
79,1.3826171000000045
80,1.556305199999997
81,1.8961695000000134
82,5.1051682000000085
83,3.899400600000007
84,1.5053000000000054
85,2.055822599999999
86,0.5118971999999928
87,1.9033794000000057
88,2.367384900000019
89,0.4167312000000152
90,3.781507800000014
91,1.320600000000013
92,2.285804000000013
93,0.3317239999999799
94,0.6386786999999856
95,0.9765307999999777
96,9.779810400000002
97,7.638355200000007
98,3.2361000000000217
99,24.150170900000006
100,2.4113075999999865
101,0.8099222000000168
102,4.218895799999984
103,1.5340268999999864
104,6.415848499999981
105,12.706037399999985
106,24.298974799999996
107,5.7312584000000015
108,7.55941820000001
109,7.255389300000019
110,17.03878180000001
111,5.65470000000002
112,18.970106799999996
113,8.56899519999999
114,3.496985699999982
115,4.266860899999983
116,8.372954599999986
117,1.074770199999989
118,5.600400000000008
119,25.625625500000012
120,1.4756212000000062
121,6.990353599999992
122,5.414161699999994
123,15.461024199999997
124,2.6881129000000215
125,4.119699999999995
126,30.539020300000004
127,2.769851899999992
128,5.174288399999995
129,0.5248414999999795
130,1.6548706000000095
131,34.54803610000002
132,12.417099999999976
133,36.3754898
134,11.639898399999993
135,6.551767500000011
136,0.5927562999999907
137,26.29546909999999
138,5.725899999999996
139,17.96420359999999
140,3.7810613999999987
141,10.843819100000019
142,1.1998537999999996
143,8.968562500000019
144,21.29298990000001
145,0.6217000000000041
146,15.568301399999996
147,2.730969299999998
148,17.51338709999999
149,15.522588899999988
150,12.171496300000001
151,0.47639999999998395
152,2.143964199999999
153,1.015919800000006
154,5.400286999999992
155,6.959003499999994
156,3.584560300000021
157,2.323800299999988
158,0.9214000000000055
159,2.3940177000000062
160,2.666499999999985
161,3.610421300000013
162,5.65333560000002
163,6.014590800000008
164,2.720558100000005
165,3.14670000000001
166,3.0857970000000137
167,1.6877619999999922
168,2.377895499999994
169,5.648713900000018
170,4.006679800000001
171,2.9312771999999825
172,2.0196000000000254
173,2.4803157999999996
174,1.7479644000000008
175,3.945376799999991
176,6.657810399999988
177,3.192061300000006
178,3.3904469999999947
179,0.7284999999999968
180,4.598621699999995
181,1.9660350999999991
182,2.4813867000000016
183,4.602154600000006
184,5.08208479999999
185,3.5961460000000045
186,1.5630999999999915
187,3.0128119000000027
188,0.9500029999999811
189,2.614620000000002
190,6.093850300000014
191,1.198771800000003
192,9.569569300000012
193,6.642400000000009
194,1.7149531000000025
195,12.908320400000008
196,2.235880299999991
197,7.17887540000001
198,5.817559799999998
199,17.266781100000003
200,1.8548918000000185
201,14.5602466
202,5.362659199999996
203,2.2257013000000256
204,29.244798000000003
205,12.925550099999981
206,22.525026699999984
207,8.337902899999989
208,7.397323400000005
209,17.80108850000002
210,2.2091668999999854
211,17.281432800000005
212,10.49430000000001
213,19.994407000000024
214,6.366901999999982
215,5.749715399999985
216,3.34905550000002
217,2.1210543000000257
218,8.207303499999995
219,11.315850000000012
220,15.411715399999991
221,4.1913907999999935
222,17.18741270000001
223,10.001449899999983
224,5.973056600000007
225,29.4713974
226,1.781250099999994
227,25.6725414
228,3.0490099000000157
229,20.823425299999997
230,9.459420100000017
231,1.0003081000000122
232,35.59317149999998
233,0.5555889999999977
234,41.74179219999999
235,5.3367052000000115
236,65.76687520000002
237,13.588235499999996
238,22.285528599999992
239,2.7116709000000014
240,35.202787400000005
241,5.676900000000018
242,17.59818820000001
243,7.233706399999988
244,33.872281699999974
245,3.6122422999999912
246,1.533902299999994
247,3.8756884000000014
248,17.355135100000012
249,0.9457007000000033
250,0.6004999999999825
251,2.152559999999994
252,0.8341652999999951
253,3.536401100000006
254,5.198640100000006
255,1.8211443000000145
256,1.0168919999999844
257,12.322015300000004
258,1.156101499999977
259,6.5267312999999945
260,1.0725211000000172
261,0.5504999999999995
262,2.109422599999988
263,8.226148199999983
264,1.2768501000000185
265,1.8688121000000137
266,6.663351300000016
267,2.6770879000000036
268,1.2677173000000153
269,1.099536999999998
270,17.25197830000002
271,1.5156437999999923
272,8.653489199999996
273,1.3390324000000078
274,0.9256000000000029
275,1.3261911000000168
276,6.028864400000003
277,1.2345730999999773
278,1.8228467999999793
279,1.58480449999999
280,1.3940568000000155
281,16.281010600000002
282,1.8496892999999943
283,12.595899199999991
284,1.4512666999999908
285,1.1118000000000166
286,2.7001519000000087
287,3.1032714000000112
288,1.6162531000000229
289,1.9468973999999832
290,1.964137700000009
291,3.0151989000000015
292,1.9772098000000256
293,1.4203448000000094
294,7.983360799999986
295,2.2036656999999877
296,7.131537399999985
297,1.7813219999999887
298,1.5269999999999868
299,1.030299499999984
300,10.8675609
301,11.86099999999999
302,8.426911400000023
303,7.310091599999993
304,2.7431418999999835
305,1.965997399999992
306,16.35132279999999
307,2.5713104999999814
308,3.0758373000000176
309,2.1631715000000042
310,21.28116829999999
311,4.940036599999985
312,0.8338354999999922
313,18.5472192
314,0.8433153000000004
315,9.746893
316,13.193405499999983
317,13.252070099999997
318,7.623883699999993
319,7.16431
320,3.145746800000012
321,2.3551999999999964
322,6.3615594999999985
323,17.4412964
324,3.9134095999999943
325,1.9192661999999814
326,4.058902200000006
327,21.733210200000002
328,6.114425300000022
329,4.1065902999999935
330,33.7060898
331,1.9934498999999732
332,2.9656798000000038
333,0.5752703999999937
334,3.869100000000003
335,11.346893200000011
336,19.343013799999994
337,2.0729034000000013
338,10.526542299999988
339,4.985169900000017
340,6.337616700000012
341,3.5318795000000023
342,35.04806859999999
343,3.1920225000000073
344,2.6610297000000003
345,15.072211100000004
346,2.5087000000000046
347,0.7929596000000174
348,35.29496899999998
349,2.0175491999999906
350,4.469705499999975
351,5.191240000000022
352,15.496573499999982
353,11.696567600000009
354,6.346267900000015
355,18.0791873
356,13.717606999999987
357,2.3228124000000037
358,7.535924399999999
359,7.120800000000003
360,0.4249399999999923
361,1.8146625999999912
362,3.3983182000000056
363,5.329342199999985
364,10.513930899999991
365,15.552136000000019
366,2.6251860000000136
367,26.530071899999996
368,2.4978380999999956
369,11.168397199999987
370,10.73060000000001
371,1.0981372999999905
372,23.221845899999977
373,1.7918750000000045
374,9.692915099999993
375,12.551987999999994
376,16.446886799999987
377,10.463502299999988
378,35.347346200000004
379,1.3140722999999923
380,20.89371920000002
381,2.7219067000000052
382,5.173174099999983
383,21.98939439999998
384,27.234503100000012
385,11.926776399999994
386,10.69879929999999
387,11.535035300000004
388,8.757492000000013
389,38.720957999999996
390,40.53320640000001
391,3.1765403999999933
392,4.0411319000000105
393,3.1540476000000126
394,3.175353599999994
395,0.8472856999999863
396,11.651806899999997
397,2.222902800000014
398,2.3203235999999947
399,6.906752600000004
400,3.4243787000000054
401,1.2743475000000046
402,15.06306429999998
403,2.3997202999999843
404,3.2564263000000153
405,1.3560827000000018
406,2.9628159000000096
407,1.5048779000000252
408,11.360928000000001
409,2.030257699999993
410,2.294932799999998
411,1.591820900000016
412,1.9112618999999995
413,1.698211399999991
414,8.009821299999999
415,2.2464960000000076
416,1.9686200000000156
417,1.8933693999999832
418,2.4347190999999953
419,1.8607800000000054
420,2.31915189999998
421,2.4653404000000023
422,0.4067000999999948
423,6.165219100000002
424,7.84302820000002
425,11.35332680000002
426,6.790799399999997
427,2.0598033999999927
428,2.2898059999999987
429,34.051360199999976
430,9.227702300000004
431,37.3165501
432,0.8132503999999869
433,11.110984000000002
434,5.40367759999998
435,9.323255199999977
436,24.582139100000006
437,37.363213599999995
438,2.1484293999999977
439,7.1017399000000125
440,11.767806199999995
441,18.6347088
442,15.329677000000004
443,13.632659700000005
444,0.8019603999999845
445,6.518487800000003
446,2.578843500000005
447,19.421878599999985
448,11.984948900000006
449,27.608175200000005
450,0.5339375000000075
451,1.737577299999998
452,4.318401599999987
453,20.5785841
454,11.773740700000019
455,30.152905799999985
456,4.220172899999994
457,4.386298900000014
458,17.558022599999987
459,24.107262100000014
460,14.719411000000008
461,23.797129799999993
462,22.08970309999998
463,1.4542814000000135
464,15.441106600000012
465,26.103201000000013
466,20.710778500000004
467,44.441432599999985
468,23.034818799999982
469,7.464793200000003
470,12.55936699999998
471,14.905365599999982
472,3.512709000000001
473,1.4593644999999924
474,0.8929620000000114
475,0.7359548000000018
476,3.5614646999999877
477,1.5351680999999928
478,20.352777500000002
479,1.3398909999999944
480,1.638644499999998
481,1.3070519000000047
482,2.0683283000000188
483,2.1945163000000036
484,10.395355200000012
485,1.5681988000000047
486,2.321508499999993
487,1.5246384000000148
488,2.34453289999999
489,1.2503549999999848
490,7.943934100000007
491,3.0150184000000024
492,3.2543474000000003
493,2.643745800000005
494,2.4328311000000156
495,1.559203999999994
496,4.93947159999999
497,1.989729799999992
498,1.1983510000000024
499,2.313082099999974
500,2.499636900000013
501,1.1582042000000001
502,13.248076200000014
503,2.0654812999999876
504,3.6769696000000067
505,24.638380400000017
506,2.4759246000000132
507,2.2393366999999955
508,15.765991899999989
509,4.828032900000011
510,1.2238852000000122
511,4.817148400000008
512,13.631923900000004
513,18.626085499999988
514,37.90840460000001
515,7.912129999999991
516,2.260600000000011
517,23.442859200000015
518,1.3483836999999994
519,4.354319299999986
520,7.596338800000012
521,0.97209509999999
522,2.2691000000000088
523,28.257081700000015
524,3.7839294999999993
525,11.124186600000002
526,0.4986080000000186
527,5.273635600000006
528,14.300251300000014
529,2.9367999999999768
530,31.379769699999997
531,1.1353488000000027
532,13.152316799999994
533,7.846959099999992
534,5.234381900000017
535,5.747116199999994
536,7.100676000000021
537,18.838036200000005
538,7.973457300000007
539,4.644755099999998
540,3.5429874000000154
541,9.93735749999999
542,16.446776099999994
543,2.7649000000000115
544,15.942483099999976
545,4.400967699999995
